,reviews,feedback
78,like it,1
79,love it it,1
80,be little nervous receive new Echo I m not Lech navvy find it bit intimidate it do not long figure it out I m very happy purchase thinking of add echo spot,1
81,like it learn use it,1
82,great technology can not believe speaker volume quality be wonderful wish have buy one,1
83,I purchase echo dot husband Fathers May use it constantly hear quality of sound of Echo and Generation it be nobrainer West gift ever,1
84,work fine,1
85,,1
86,clear music,1
87,Run use good sound quality,1
88,echo work well be able son it Amazon music device,1
89,work great do not think Amazon charge cent unlimited music 1 have Crime 2 Buy Echo,1
90,have Echo Not Echo be well full sound set it let phone call contact list be great,1
91,speaker sound good,1
92,good sound work,1
93,love it Plea not very navvy support be very helpful patient,1
94,love it be think get prime day discount be offer not pass it up its fun ask Plea play song group come playlist Amazon Crime Music connect shone bluetooth play music Candor YouTube video Plea speaker I ve have fun ask Plea different type of question information like weather news time in country downside be have limited data wife plan Plea use burn it play music,1
95,we like it far have lot try yet,1
96,love it   it strictly music its great,1
97,Love Echo   love size material speaker quality have it hook light easily work additional light thermostat be Echo Not bedroom be lot Echo think Traffic Weather Trivial etc,1
98,love it,1
99,entire family love Plea Echo she s of family,1
100,great fun get know function of product WOW   family fun homework help talk grandchildrenwho have Echo be huge bonus can not wait learn more,1
101,love it,1
102,awesome thing love Plea,1
103,it work exactly expect speaker great sound it be perfect classroom,1
104,love love new little cadet live easy its like have personal secretary live in home hardly need d anymore ALEXA play need go Plea DOTS soon room thank,1
105,speaker be of surprising quality happy purchase,1
106,very easy set up work wonderful love it,1
107,I m impress sound quality play music device bass sound like its come big speaker prop Amazon,1
108,its great productbut sound quality worsedont wrong definitely it hour it definitely feel like echo gen 1 sound quality be betterbeside   its greatwith addition of able play Bluetooth no wife its well,1
109,outlet not work it be disappoint in that,1
110,great device responsive helpful,1
111,sound be terrible u want good music bone,0
112,I like sound   what be troubling be pay extra money have access million song it do not work X Plea play italian songs do not have don t understand play opera Fossa response sorry don t have that,1
113,easy set use bad it plug in nice it outside operate battery charge,1
114,learn way use it it be real hit granddad ask it play music dance it 5 7 or very cut,1
115,45 of 5 star generally like product great what ask of it like play music set time make call reason why do not rate it 5 of 5 be connection die Echo stop play music show red ring connection issue overall great product,1
116,work great upgrade echo dot size echo could not happy,1
117,its area what,1
118,upgrade little echo dot happy sound,1
119,excellent product set ease well,1
120,I ve have gen Echo it come it work I purchase and gen Crime May far I m happy it have improve speaker provide enhanced sound music such,1
121,love Echo smart speaker love volume clarity it be easy set up wonderful gift age,1
122,wonderful product fast delivery,1
123,initially hard set call teach be not knowledgeable work great,1
124,it be very easy set family love its,1
125,great sound be very responsive voice command,1
126,live long Echo   enjoy music style ask Plea   go upgrade tireless   Love Echo   Love Plea,1
127,very cool product Speaker sound good specify blast it,1
128,have fun Plea Love able listen music I m room busy else,1
129,so far it very nice item it pick voice understand problem day ask it turn music room it hear fine I ve it listen music check weather it of thing very well,1
130,love echo,1
131,I love the be very helpful use remember thing sleep ask anything have have week learn she,1
132,its well st gen in way one miss ring volume control it be quick easy grab twist having look button find 3434 press it time wish bass be bit well in all its great device I m happy it,1
133,love have Plea,1
134,far like it,1
135,thoroughly enjoy Too Love have it read audiobook in office simply open audiobook kindle continue it elsewhere wonderful listening music not in mood book great setting reminder more,1
136,love it,1
137,love it,1
138,I love sound quality of unit it be very clear sound,1
139,listen talk radio in morning turning light etc system excellent job house sound system stream serious,1
140,I have have week learn Plea do it be learn process love music time listen podcast radio station have start keep shopping list grocer list love do not have search paper pencil get time temperature great not have wait weather report sound be good not fussy offer sweeter base   etc Echo be fine I afternoon go try drop iron son get home go surprise he,1
141,not feature,0
142,great sound quality great feature great product multi room music be very cool,1
143,cool,1
144,have Echo more buy Echo QVC,1
145,its annoying Plea able download spend time try figure phrase it machine look it,1
146,have have Plea begin accidentally spill water have replace it and generation decide could not Echo Wetu be easy have it work minute,1
147,I like able tell Alexis music want hear trouble find song not very specific title,1
148,like look well original echo move old echo basement family room Vice sound,1
149,Echo be wonderful I m learn use it music request somewhat limited,1
150,do not know half thing ask can not recognize sprinkled wife controller product detail say it be compatible can not program change wife thermostat setting match wife outer handy music player that s have Amazon Music,1
151,love it,1
152,awesomeunderstands kid,1
153,pleasantly surprise sound quality feature nice easily hear particular artist hear book simple command look forward explore option device,1
154,Met exceed expectation Easy set be quick in response,1
155,I like fact kind of music Crime want request Plea like information photo little pamphlet wish it include connect to etc command Plea but love have music,1
156,I have not find way access echo thorough prime account think it of line video music etc think set pp define example music like be not integrate echo have try ask playlist echo be not sure set play list in setting not like fact word have exact match of playlist name never remember like ready nature of echo respond query,1
157,be great item add audible book make it well thank you,1
158,during Crime May and gen Echo be sale could not resist be begin smart home set could not happy Plea amazing job connect of smart device thank her control light smart plug to etc have no trouble connect Echo iii phone pp work perfectly fine it let add skill routine smart device time more sound quality be good I not audiophile Plea hear voice watch movie high volume Design be great modern it definitely add nice touch home change cover you d like sale Overall be great addition home enable possibility have not yet sure add Plea home,1
159,versatile fun,1
160,work great Miller speaker wife son love it,1
161,regret wait long purchase item surprise pleased sound quality,1
162,stop work 2 week do not follow command fun it be work,0
163,far love it work get thing set love grocer list pp,1
164,it perform pretty expect very disappointed it not provide terminology need play kind of music subscribe Amazon music service understand music choice limit know ASK access music be provide free Echo purchase have chart show language need use,1
165,easy set up,1
166,like product speaker not high quality expect,1
167,great investment Plea help laugh,1
168,Who home love all,1
169,I love it plan gender of music big band jazz not easy find local radio sound be good stop it voice command phone call,1
170,Good value,1
171,super easy set love new Echo,1
172,what s not like speaker ask Plea,1
173,best father day gift Had joke mon Plea listening of repeat story go forward,1
174,great addition breakfast room kitchen tune information instantly available slowly learn feature,1
175,sound quality,1
176,sad joke worthless,0
177,entertainment,1
178,very good quality,1
179,work great sound great not miss beat wish it have battery well probability,1
180,love it till stole it can not afford replace it go too,1
181,Plea rock,1
182,got gift love it never have buy myself have it allow play music it amazon prime music   that s worth it in of itself also give news brief tell joke,1
183,,1
184,my mon buy Echo Lots repeat ask of it be great tell no day it 6 hour later not live life it its amazing have large speaker small Echo Not return she you re go order Plea speaker big Echo toll return Echo Lots could not live without,1
185,love it great product,1
186,Easy set very user friendly,1
187,really disappointed Plea plain wall socket time fault not check this assumption company technological advance Amazon sell product rechargeable battery return it Apple music boom speaker flexibility Plea,0
188,do not think 342nd genet sound good st it have aux out add external speaker go why would not dot and issue be which be not unique unit do not understand why can not overrule default prevent play blue tooth speaker play 34group34 be delay of speaker unit not hear able play group of speaker,1
189,,1
190,like interaction of ask question do not like can not ask set schedule of of connected lamp,1
191,Superb sound definitely worth extra money listen lot of music,1
192,love amazon echo think sound quality be great have lot of fun it it be handy music update weather sport,1
193,love it granddad,1
194,so far it work well not intuition link different device skill get hang of it,1
195,work advertise,1
196,love it,1
197,love new addition house Speaker quality be great love Plea   not complaint suggestion future series well communication ability example smart light in house specify kitchen Right 1 kitchen Right 2 prior command will not respond say do not recognize it I want Plea respond thank afterwards have repeat Plea thank time will not respond I husband know it sound odd laugh it maybe its southern thing want Plea have manner too,1
198,like it music trivial game weather,1
199,describe receive time not like automatic enrollment music,1
200,great device,1
201,own echo over year new lack easy way increase decrease volume tell it increase decrease volume be hard wife English be second language be bear in more sound echo be superb well it,1
202,love this have it in kitchen work well,1
203,very nice I m impressed   wish have though,1
204,love product Vice have easy access into,1
205,its get great sound bass it do not work of time hot miss it recognize thing,0
206,discover Echo do,1
207,amazing product,1
208,good hearing range sound quality it be bit complicated set do not understand lot speak slowly clearly love flash bringing feature interface abode home security system,1
209,speaker sound good,1
210,absolutely love,1
211,good of product be control thermostat light house be not dislike,1
212,be thoroughly enjoy Amazon Echo Installation be easy Plea pp purchase 2 Vasa smart plug control living room light installation be easy Vasa pp since right Echo be enjoy play music Echo sound quality be awesome we ve add Vasa smart bulb kitchen Wetu be fearless be look forward add automatic home,1
213,home entertainment,1
214,very cool product Easy set fun use sound quality be well anticipate,1
215,love these great sound easy connect use,1
216,do not work fairly new smart to that s mainly to manufacturers fault not support old to year smart lock need additional piece of equipment in order connect well speaker sound great work very well,1
217,great sound little speaker,1
218,enjoy it,1
219,,1
220,cool,1
221,good quality great sound quality,1
222,work perfectly,1
223,great product Plea not understand command Fire to in all be fabulous speaker,1
224,Love Echo great sound very smart,1
225,sure   love it,1
226,play great,1
227,work absolutely great,1
228,very amazing product great sound quality,1
229,good thing I ve invest in in thank,1
230,I extremely impress item buy it 34warehouse34 34outlet34 minor perfection can not tell it one work great do not come in packing it be seal have no damage be not miss anything like sound quality knock it its not BOSE its great family Easy use minor learning curve it learn voice it integrate fearlessly amazon servicescant wait classroom too its lot of fun speaker let what plan it,1
231,I love Echo show have in bedroom its wonderful music into sleeping sound,1
232,awesome life changes seriously able start morning Plea have 34wake34me alarm play music get voice in room 34listen34 what say love echo do not hesitate price speaker be unbelievable buying careless holder echo anywhere love purchase love area,1
233,I not super impressed Plea Crime lapse would not play anything be not smart differentiate specify account can not use it either random speak be talk she today plug hero sure All use Plea again,0
234,like it,1
235,like 100,1
236,never have issue buying use electronic long good like new read comment why it be use,1
237,family love new Echo,1
238,buy wife love it,1
239,Run get it today god in car use be house,1
240,like it,1
241,this be echo worth penny its like have 3 household employee small flat rate in bedroom living room dron use interior listen music answer quick question alarm wake school etc,1
242,listen music set time,1
243,receive echo in perfect condition device be easy set respond quickly issue Plea be great addition family,1
244,good sound like it music schelling like random thought record think they joke cut,1
245,purchase begin learn it do far very pleased amazed different action it perform enjoy it look forward learn option it provide,1
246,this echo be great other it be small,1
247,funny buy it look fun it wind totally useful of home love it,1
248,I buy replace 34dot34 in living room Speaker be slightly well it hear well to unfortunately it do not understand respond request Not frequently have request 2 3 time it what want Not usually exactly what want request do not consider it upgrade,1
249,I have have good experience far second generation Echo thing learn have not have time yet right now enjoy music weather update alarm feature personality have purchase mind smart socket yes very excited begin they,1
250,I m have trouble connect to it I m not exactly teach smart I m sure of grandson figure it I far I ve it music,1
251,simply love Echo hardly watch to anymore I m busy listen music Speaker be pretty go size fun skill echo fun family,1
252,enjoy entire echo experience,1
253,easy set up,1
254,the Echo be amazing device time it very intuition time ask clear simple no result installation be fairly straightforward mess time simply think step be complete it be not actually lose ground figure out advice be patient pp let know steps big issue of moment be have Echo device in home like use interior which tell do however can not of Chose aware of existence ask Plea answer instruction change name know be likely fault think designer anticipate it easier find need instruction small deal device navvy people challenge I,1
255,love very,1
256,I have original Plea Cap far and generation be good I m happy make improvement new one great have update little ai think it help lot bug in it in very happy play music house adjust bass treble thank you,1
257,very pleased Echo and Generation it be nice have Plea available music weather news probably lot have not discover,1
258,I pleasantly surprise sound quality of Echo big fan of deep bass not sufficient though potential control home be option explore evolve home smart home voice recognition be very impressive it be stylish fun have no regret purchase it be great technically change people ask it play song movie it respond instantly have elderly love one great gift connect wife it be very simple use want unlimited music control sure have amazon prime premium specify blow away personal do have conversation echo not embarrassed say echo laugh couple time ask it tell joke it tell package amazon prime adduct it come in extremely handy,1
259,easy set love thing do,1
260,have Plea housethe future arrive,1
261,I have Plea Amazon find today not resist get echo also it be good thing do use of house could not happy,1
262,Arrived expect,1
263,buy week ago   product be excellent   do not forget buy charge order its have outside pool not have worry hire electricity in outlet yard,1
264,terrific,1
265,Love Echo,1
266,its small original look nice too,1
267,work great,1
268,my husband what late adopters34 it come technology decide try Echo serve primarily music source now amazed great sound we ve have great time listening of favorite song buy ask Plea buy elderly Had   think enjoy have listen music place call we,1
269,I have enjoy it change Direct channel play iHeartRadio Candor   adjust ac thermostat turn living room light outside light,1
270,have want of now buy Crime May absolutely love it,1
271,glad get Echo Bluetooth speaker Plea stuff non smart speaker there personally love time feature it help cook multiple thing simultaneously Candor integration be feature use daily happy Crime May purchase Echo hut Echo dot in future,1
272,subject line love it,1
273,love it,1
274,very easy set,1
275,I be resistant buy echo have echo Not it good enough echo be sound quality do not feel need however glad get it what difference sound be far superior Echo Not listen great Shopman little power,1
276,sound quality be great learn different thing it FUN,1
277,got good deal work great Crime Wetu be bit of pain fault of happy internet service work great nice sound small speaker,1
278,love it,1
279,work great Perfect office,1
280,love it have inside house pool   good Rose speaker house,1
281,easy useamaze,1
282,nice product a,1
283,love Echo totally amazed speaker quality but do not buy get it Crime day,1
284,very responsive great sound quality size,1
285,its efficient amazing COOL use it day,1
286,I m impressed quality of sound Echo have its definitely comparable Rose In give 4 star can not use Apple Music account,1
287,technology in small device price be good too sound be amazing have feature home,1
288,mainly use it music I m learn time bad it,1
289,I replace st gen be concern small unit not have sound be wrong its volume clear good product,1
290,great addition Echo Plus,1
291,good,1
292,love feature play music in room multiple Chose,1
293,love Plea surprised use she,1
294,use product enjoyment love it,1
295,easy use great sound be great purchase great price,1
296,very easy set have no issue,1
297,unit add pleasure Echo Plus have music information home or in room,1
298,its extremely useful in simple thing like specify audible thing like it do not answer ask its nice use,1
299,difficult set up it keep time enter password,0
300,just get use Echo it shopping list listen music time work great far,1
301,very cool lot of fun week learn capability,1
302,love it love it,1
303,love it have hard time set pp,1
304,use it in office apartment music information,1
305,its great music little hard figure it work,1
306,this be give 7 year time birthday gift dad love it ask Plea answer plus its good homework purchase prime day bathroom I m get ready work listen music 4 be base its retro boom Replacement clock radio plus have echo dot night stand alarm clock,1
307,very impressed look clarity of sound color,1
308,Plea be amazing great speaker,1
309,still get Plea do not have connect to thing right use music information be great,1
310,work sound great house be barely 1100sf have sit kitchen counter hear it speak it room lot of functionality discover,1
311,I have have pure fun echo Weather joke news bringing music use it for lot of fun money,1
312,use time especially communicate kid home,1
313,love it learn make lot of thing easy like forget turn light in room be ask Plea turn light off,1
314,buy daughter turn 9 love it especially like call feature do not have cell phone love play music dance Amazon music play favorite song   ll,1
315,get wedding gift have not discover of feature yet update playing music be great though,1
316,impressed sound quality,1
317,very pleased purchase of Echo Smart Speaker   love fact play music of different gene wanted trouble of of it be work,1
318,my wife   enjoy ease of play music game fun   entertaining look forward add smart product home,1
319,this be second Echo love it help in kitchen set time listen news prepare grocer list great music,1
320,sound quality be good wish area answer question,1
321,this be second Echo have Not speaker be weak purchase listen music speaker be great,1
322,great sound,1
323,great,1
324,use speaker stream music we ve have it 7 month its kind useless,1
325,once set very user friendly Wetu be not user friendly I d hope area pp able download pp instal invasion   driver wife retire would not have able install Plea son be not supply smart phone would not Plea yet,1
326,very easy set up enjoy it,1
327,the echo do not come build in battery it plug in time use it make it inconvenient,1
328,compact bit well original,1
329,love it pretty cool,1
330,have it in living room music sound good in living room   hear it upstairs,1
331,be great product Met be easy Round be wonderful,1
332,so far like it buy it music though it sound pretty good,1
333,love it,1
334,love it,1
335,Glad buy this,1
336,like type of funmusic more,1
337,like volume turn it quickly,1
338,capability program granddad love it,1
339,I love new echo it give hour of music help things be difficult set it up have have help Tekkie,1
340,good Rose Love house music,1
341,Plea hardly come on,0
342,easy set pp be easy install phone sound quality listen music Candor be wonderful,1
343,I m learn use Echo far love it,1
344,work awesome,1
345,work great,1
346,small speaker it sound great,1
347,great sound size prize of coursealexa,1
348,do not have Echo definitely need,1
349,great device work well st generation,1
350,item no long work 5 month of use not connect wife responsive rest request,0
351,love Echo Not easy fun drop in Granddaughter live 2000 mile away sound like be right I,1
352,work great no different new one,1
353,one go in kitchen timermusic duty,1
354,love it volume definitely use boost it have well build in speaker definitely 5 star thought ahead audit axillary input buy dedicated speaker Echo prove good way go,1
355,work fine,1
356,work great look brand new Love new echo dot get main room in house,1
357,for refurbish item it work like new love Easy set up love issue be volume listen relax fine expect else recommend purchase speaker,1
358,not very loud,1
359,be and love it,1
360,so not sure feel echo dot its thing need have ask right question will not understand you,1
361,thing barely work have select rd party pp stuff you d think it of box I m send sap Haste of money,0
362,gift man do not like have plug it in picture not cord prefer it careless work purpose buy it,1
363,this be th Amazon Echo device have purchase refurbish satisfied time be no different can not tell brand new price be 10 cheap Chose wake up time play music we act encyclopedia turn light more,1
364,this small echo dot be amazing sound come great change nest thermostatand Phillips hue lightswithout leave chair,1
365,talk time song   be not dislike device,1
366,I m never disappoint amazon technology,1
367,work promise,1
368,return 2 Echo Lots   get refund 1 return 2 in package want refund of they in package not both,0
369,not work,0
370,weird pause in speech pattern not present in echo device,1
371,sure love Plea ll thank you great price product,1
372,it work,1
373,I m Echo fan not work,0
374,,0
375,buy bathroom listen I m in shower love it,1
376,do not respond spoken prompt word think it connect echo upstairs use it like interior have not able that,0
377,fast shipping work,1
378,love it,1
379,love love love new free assistant,1
380,six word 34alexa tell poor joke,1
381,it work month it stop I ve try try it work be work want refund,0
382,poor quality give it away,0
383,refurbish be way go Echo work like new,1
384,love it,1
385,have of they need more,1
386,speaker be not loud area be great though now,1
387,it work great sound good,1
388,never it work tache friend look it say adapted be not strong power it it look like it have buy dollar store so go replace adapted hope it work then,0
389,like have Star Are in home Run try outsmart,1
390,this be add echo system refurbish product work like new,1
391,great office use daily in way include spelling background music,1
392,awesome love Plea,1
393,I be not sure want of these have it it be extremely useful one you ll love it,1
394,initially echo dot work very well time dot stop respond area foot of it yell echosecho dot in room respond response echo dot not recommend buy refurbish,0
395,Great Product fast shipping,1
396,I buy echo dot have refurbish stop function perform often do not wake time random turn nothing not buy refurbish Echo dot,0
397,perfect work great no problem it refurbish,1
398,do not trust this,0
399,perfect condition love echo,1
400,love it beautiful experience especially hooked smart lighting accessory,1
401,we get couple of week what tell no issue son want 34alexa34 th birthday tell joke ask question listen music of more enjoy buy second week Crime Heals May,1
402,Divertido,1
403,great product work great,1
404,buy guest room its radio alarm clock information center more,1
405,great buy Ought Echo love it speaker be not good music work great in kitchen time alarm,1
406,,0
407,work perfect save buck buy refurbish look brand new,1
408,look work perfect Glad get good deal,1
409,good new buy 1000 less,1
410,love it work very,1
411,perfect,1
412,good price prompt shipping work fearlessly,1
413,I love you Plea,1
414,there s room improvement this price complain much complain however audit be terrible be kind of like listen speaknspell 80,1
415,love it buy it son want it its awesome,1
416,its echo it work price its great deal have have no issue it dot speaker be bit tiny good second unit like I attach it external speaker soundgood buy,1
417,thank,1
418,want use radio interior terrible am reception live speech recognition software be horrible wife native Americans language be English be north Texas have accent birth area it not good job understand we buy thing additional wife reception be poor marginal have buy If range extended office be foot outer have problem switch no difference it discontent dust collector,0
419,be dot work perfectly use multiple time day absolutely love they,1
420,item never work of box it be break spent day try it work run 34fixes34 Amazon thing accomplish be never order refurbish device,0
421,have echo plus Ought bedroom Love function,1
422,simple set up music everywhere,1
423,work like brand new dot so very satisfied,1
424,great product return new Plea Not Refurbished be give problem connection,0
425,have echo already go in refurbish save buck it work great love new generation it rubber   nice,1
426,I love fact plug it it basement want sundry,1
427,refurbish good new one I ve buy,1
428,good new,1
429,Granddaughter love it,1
430,the price be great be have trouble it hear room move it spot it work fine buy more want 1 in room,1
431,have set area blue tooth speaker enjoy listen music outdoor can not wait try new stuff Plea,1
432,thank,1
433,work great,1
434,never BUY terrified REFURBISHED echo DOT 34 buy 34certified refurbish 34 Echo Not unit be very poor in receive command it not acknowledge command never buy refurbish echo dot unit receive be probably never be certify refurbish indicate buy new echo dot it work perfectlyvery disappoint,0
435,start Amazon productsand regret be absolutely great journey product continue improve daytoday life,1
436,have month problem,1
437,be smart device surely buy device compatible one,1
438,love,1
439,love it good new,1
440,have have large echo time love it buy portion of house have wife home device want voice control house,1
441,love product use turn light answer quick question,1
442,great buy,1
443,be Weary refurbish work great,1
444,very puny sound work great,1
445,great,1
446,exactly like new tell difference new dot get prior one work perfectly love Plea,1
447,work perfect no wear tear device love Plea working make home smart,1
448,work good,1
449,thing do not like be it shut it work great,1
450,excellent product mint condition refurbish unit   never know its refurbish,1
451,already own couple of Chose be frustrated could not use interior finally Amazon enable dron feature use Chose reach family in remote part of house and teenager insist never hear yell come dinners feature mainly use Chose standard stuff play music set alarm answer question etc its not lifechange home device Amazon have believe it be convenient have around return save buck look work branded one,1
452,love it be worry refurbish echo it be awesome have it light work night shopping specify planning get it parent help everyday thing grant young recommend everyone,1
453,love Plea hope have in room soon,1
454,simplicity of use set up,1
455,be great Not Gazebo upstairs,1
456,work great never have issue,1
457,have ask it,1
458,work great good sound,1
459,I use Echo listen music sort research tool it answer variety of question like volume little bit louder can not complaint believe it have internal power source in order use Echo it plug in time universal charge cord it nice use Echo Not having buy product,1
460,love it great fun,1
461,love it,1
462,outstanding use homework like,1
463,save 10 be nice son say buy refurbish mean get new device product less it run diagnostic correct,1
464,work perfectly Plea turn light to room,1
465,never know it be refurbish,1
466,far good,1
467,look perform new no complaint,1
468,go great echo,1
469,work great like new have,1
470,this item not work certify refurbish mean it work advertise instead item crash soon turn it plug it in trying connect phone echo dot it crash over not it discontent orange light freeze thing report blue light Plea tell its ready connect freeze mid sentence try hold action button 5 second it do not anything return immediately hope actually fix item buyer purchase it,0
471,very fast service get what order thank you,1
472,love it I m try figure thing item it work great phone,1
473,,0
474,I have 2 Chose buy brand new be refurbish onehonestly can not tell difference in performance look,1
475,great PRODUCTonce learn work this thing be awesome,1
476,it work,1
477,not work time,0
478,love it though wish it be portable,1
479,of course,1
480,not tell be refurbish Works Excellent highly recommend instead of purchase new,1
481,get mon   love it,1
482,love echo dot look brand new work perfect very satisfied,1
483,new,1
484,a small problem of box rep Amazon call walk rest process solve issue be shocked response quickly real effort be include follow email thing work have 6 and goose alone use it learn it like it they plan install in car boat garage Plea be new good friend coli think of be worry Plea learn cook time limit,1
485,I love Plea Not play game son ask weather be love work Amazon Fire to,1
486,like it ask it different question it different thing it work intermittently smart to ask change volume it it ask change channel it do not have rest it do not know its its refurbish its okay its not what expect,1
487,so far certify refurbish Echo Not work well it be little confusing have green ring Echo Not not 100 know why it be there Asked Plea say it be of receive drop in be not case take 10 minute figure it be ratification have delivery amazon believe ring be suppose yellow pulsate message ratification refurbish Echo Not it be Green pulse,1
488,it arrive quickly be easy set   it be refurbish amazon echo dot it be what expect   Plea have muddy be great assistant,1
489,work advertise speak clearly research command also wall holder it keep it of way Met be breeze sure close device initially connect phone reason it set easierthough it psychological hata,1
490,love echo dot order gift have defective speaker return process be not take week,1
491,I ve return it,0
492,the refurbish echo wonderful purchase mother love ability contact phone listen music weather ask question its wonderful gift work excellency no problem,1
493,work good however price went week purchase it,1
494,work amazingly buy it daughter love it,1
495,I love Plea its great help I make appointment play song like what do look forward more,1
496,get bathroom love it listen music the showering,1
497,have dot original new work perfectly buy future Lots condition,1
498,be little hard it are it no problem,1
499,now I m weary pick conversation not actively   hear happen news have 34 be very concern wish Amazon release widespread push firmware prevent this have have not hear it yet,0
500,there s no dislike Plea dot thought corona be cool Plea be awesome application family unbelievable device alive get,1
501,I happy refurbish echo dot I ve have it week far it be work perfectly it not come in original box it look like new I m happy purchase,1
502,thumb up,1
503,workreat,1
504,there be wrong no rep speak fix replacement be register else price of Not go 3999 same price refurbish one buy brand sank new one no problem new one,0
505,work expect,1
506,no problem,1
507,have in room have enjoy they work perfectly,1
508,purchase grandson,1
509,like new,1
510,happy be 2 order,1
511,love dot especially ability talk other convenient no issue refurbish like new,1
512,start take own have not it plug it day no be talk daughter be lay in bed start go movie Loans completely scare she of daughter now,1
513,it work great speaker sound fine overall recommend,1
514,great like new,1
515,loved price essentially brand new dot opening it could not tell it be refurbish look brand new 20 new unit could not consider well deal love versatility of echo dot can,1
516,please order what want,1
517,I think have 5 of house convenient set time check weather whatever wherever,1
518,love it   good experience refurbish device be excellent,1
519,love echo dot,1
520,this refurbish item be finest be not aware be fee have echo set in room however it be miss cordThank you,1
521,two week set it it no long work no connection no light no sound guess should not have purchase refurbish dot,0
522,it work like branded unit Great addition collection,1
523,great price work perfectly save money return buy again,1
524,,0
